,Model,RMSE,Dataset Size,Time,Memory Usage,Avg Uncertainty,Predictive Noise,In Interval
50,SGPR CG,14.26041865983048,120,2.5131149291992188,0.00390625,0.12127728,0.32585007,0.0
51,SGPR CG,92.37250037430682,130,3.267960786819458,0.00424957275390625,0.9168749,0.19057885,0.038461538461538464
52,GPR ADAM,2.4368010873212134,10,1.0002267360687256,0.00189208984375,0.09457727,1.1377695,0.0
53,GPR ADAM,1.031306054894621,20,3.1579291820526123,0.00433349609375,0.086645916,0.18503982,0.0
54,GPR ADAM,4.418212258121579,30,9.046059131622314,0.00830078125,0.09766144,0.7565052,0.16666666666666666
55,GPR ADAM,0.9064299274871521,40,21.624608993530273,0.0137939453125,0.08564554,1.6148993,0.0
56,GPR ADAM,0.9100740888654058,50,46.69339609146118,0.02081298828125,0.08505553,0.5090247,0.3
57,GPR ADAM,1.0191791336988065,60,94.54446482658386,0.02935791015625,0.086369365,0.57701343,0.08333333333333333
58,GPR ADAM,1.0423768752645957,70,188.6671643257141,0.0394287109375,0.08350142,1.0122198,0.07142857142857142
59,GPR ADAM,1.6435881367552796,80,360.0108017921448,0.051025390625,0.08532399,1.6086665,0.0
60,GPR ADAM,25.747723602747968,90,637.6034028530121,0.06414794921875,0.12619072,1.8372304,0.05555555555555555
61,GPR ADAM,1.0776423895124188,100,1091.6564660072327,0.07879638671875,0.08293362,0.16150698,0.15
62,GPR ADAM,1.4044755718876019,110,1810.8778049945831,0.094970703125,0.08376834,0.3356159,0.045454545454545456
63,GPR ADAM,1.044625762157754,120,2820.0357189178467,0.1126708984375,0.08338054,1.5217457,0.16666666666666666
64,GPR ADAM,0.9139242045993633,130,4330.439347982407,0.13189697265625,0.082123324,0.64717615,0.11538461538461539
65,SGPR ADAM,98.3449446828715,10,10.0399329662323,0.00113677978515625,1.7847021,5.6779013,0.0
66,SGPR ADAM,11.713127182655684,20,10.077021837234497,0.001312255859375,1.9052858,6.5577416,0.5
67,SGPR ADAM,121.65376232828343,30,10.173182010650635,0.00150299072265625,1.5810685,3.6777956,0.0
68,SGPR ADAM,21.738355924077577,40,10.283623933792114,0.001708984375,1.550006,3.4422777,0.25
69,SGPR ADAM,12.989868371968031,50,10.446856021881104,0.00193023681640625,1.1868117,2.3727605,0.0
70,SGPR ADAM,46.01702481690896,60,10.716238021850586,0.002166748046875,1.1748828,2.007895,0.0
71,SGPR ADAM,53.25509576203804,70,10.892347812652588,0.00241851806640625,1.3039744,1.5900785,0.0
72,SGPR ADAM,68.72726227876488,80,11.115149021148682,0.002685546875,1.0114443,2.0710313,0.0
73,SGPR ADAM,87.8509202325511,90,11.37832498550415,0.00296783447265625,0.85884166,1.5689584,0.05555555555555555
74,SGPR ADAM,48.014640619766844,100,11.767311096191406,0.003265380859375,0.8253609,2.0766447,0.0
75,SGPR ADAM,68.0873951930967,110,12.147292852401733,0.00357818603515625,0.903282,2.4866936,0.0
76,SGPR ADAM,13.74581410770123,120,12.425950050354004,0.00390625,0.7724559,2.3714023,0.08333333333333333
77,SGPR ADAM,54.16412761850923,130,13.031377792358398,0.00424957275390625,0.697607,2.3146563,0.0
